-6.864379948093698 + 0.0im	7.872504914254978e-6 + 0.0im
-6.848671984825749 + 0.0im	7.903932950488254e-6 + 0.0im
-6.8329640215578 + 0.0im	7.935550779999528e-6 + 0.0im
-6.817256058289851 + 0.0im	7.967359943929778e-6 + 0.0im
-6.801548095021902 + 0.0im	7.99936199919432e-6 + 0.0im
-6.785840131753953 + 0.0im	8.031558518678026e-6 + 0.0im
-6.770132168486004 + 0.0im	8.063951091433604e-6 + 0.0im
-6.754424205218055 + 0.0im	8.096541322882719e-6 + 0.0im
-6.738716241950106 + 0.0im	8.129330835019918e-6 + 0.0im
-6.7230082786821574 + 0.0im	8.162321266619821e-6 + 0.0im
-6.707300315414209 + 0.0im	8.195514273447128e-6 + 0.0im
-6.69159235214626 + 0.0im	8.228911528469687e-6 + 0.0im
-6.675884388878311 + 0.0im	8.262514722074955e-6 + 0.0im
-6.660176425610361 + 0.0im	8.29632556228951e-6 + 0.0im
-6.644468462342412 + 0.0im	8.330345775001654e-6 + 0.0im
-6.628760499074463 + 0.0im	8.364577104187702e-6 + 0.0im
-6.613052535806514 + 0.0im	8.399021312141217e-6 + 0.0im
-6.5973445725385655 + 0.0im	8.433680179706165e-6 + 0.0im
-6.581636609270617 + 0.0im	8.468555506512906e-6 + 0.0im
-6.565928646002668 + 0.0im	8.503649111218421e-6 + 0.0im
-6.550220682734719 + 0.0im	8.538962831749603e-6 + 0.0im
-6.53451271946677 + 0.0im	8.57449852555052e-6 + 0.0im
-6.51880475619882 + 0.0im	8.610258069833285e-6 + 0.0im
-6.503096792930871 + 0.0im	8.646243361832742e-6 + 0.0im
-6.4873888296629225 + 0.0im	8.68245631906505e-6 + 0.0im
-6.471680866394974 + 0.0im	8.718898879590183e-6 + 0.0im
-6.455972903127025 + 0.0im	8.755573002278338e-6 + 0.0im
-6.440264939859076 + 0.0im	8.79248066708054e-6 + 0.0im
-6.424556976591127 + 0.0im	8.829623875303377e-6 + 0.0im
-6.408849013323178 + 0.0im	8.867004649887817e-6 + 0.0im
-6.393141050055229 + 0.0im	8.904625035692436e-6 + 0.0im
-6.37743308678728 + 0.0im	8.942487099780988e-6 + 0.0im
-6.3617251235193315 + 0.0im	8.980592931714399e-6 + 0.0im
-6.346017160251382 + 0.0im	9.018944643847288e-6 + 0.0im
-6.330309196983433 + 0.0im	9.057544371629026e-6 + 0.0im
-6.314601233715484 + 0.0im	9.09639427390964e-6 + 0.0im
-6.298893270447535 + 0.0im	9.135496533250263e-6 + 0.0im
